"","p.value","HR","Low 95%CI","High 95%CI"
"EMB",0.033822043509144,1.19890475847354,1.01396371007219,1.41757797208359
"CPVL",0.0188240177128966,1.21996560117042,1.03347654007431,1.44010629204227
"TLR7",0.0268770990671139,1.26569640309512,1.02733631797092,1.55936021805594
"IKBIP",0.0465809565091141,1.39021677806055,1.00499992158738,1.9230874037765
"CTLA4",0.0380008067440087,0.81439542475047,0.670822475249157,0.988696610989604
"MS4A4A",0.0434050415754813,1.19140623568326,1.00520105113249,1.41210439128148
"NR3C1",0.0301580516876717,1.28038897252793,1.02400162059374,1.60097004536046
"TMEM71",0.0387626842099706,1.32066556686574,1.01446781664228,1.71928326447819
"FAM241A",0.00910117201152452,1.52569553063462,1.11070897201692,2.09573066468665
"MYO5A",0.0409753943093303,1.29417111538741,1.01063132387671,1.65726000801001
"CXCR4",0.022362136056447,1.21989451402642,1.02861277382256,1.44674717563684
"CHI3L2",0.0230863384674417,1.19353369024767,1.02459573229226,1.39032656965029
"SLC9A9",0.0449291848234544,1.25417872357835,1.00513530370014,1.56492789068911
"BASP1",0.0381280299535026,1.20960530023117,1.01047203794115,1.44798166342981
"TNFRSF18",0.0296147133406951,0.791025819123293,0.64040628755282,0.977070117332456
"TLR1",0.0465556669693932,1.24210757270986,1.00331224420469,1.5377378588718
"LILRA2",0.0487960887335932,1.41736078100911,1.00184361356231,2.00521474244825
